segmento;prazo_plano;grupo;assembleia;data_assembleia;cotas_aptas;contemplados_sorteio;contemplados_lance_livre;contemplados_lance_fixo;ofertas_lance_livre;ofertas_lance_fixo;menor_lance_livre_pct;maior_lance_livre_pct;media_lance_livre_pct
IMOVEL;200;1101;17;2024-11-15;1816;2;4;1;54;18;47,87;60,98;53,34
IMOVEL;180;1102;9;2024-11-15;1431;1;6;1;48;17;50,94;79,31;63,89
IMOVEL;220;1103;5;2024-11-15;2450;1;5;1;28;5;47,48;72,20;58,04
IMOVEL;150;1104;23;2024-11-15;1035;1;4;1;49;11;44,11;58,61;50,98
IMOVEL;200;1105;4;2024-11-15;1771;1;5;1;24;19;50,48;63,10;54,42
IMOVEL;200;1101;18;2024-12-15;1809;2;5;1;26;14;47,38;64,59;53,04
IMOVEL;180;1102;10;2024-12-15;1421;1;6;2;46;17;49,18;67,16;57,45
IMOVEL;220;1103;6;2024-12-15;2443;1;3;1;60;18;54,51;77,76;65,58
IMOVEL;150;1104;24;2024-12-15;1028;1;5;2;61;9;49,14;66,21;55,14
IMOVEL;200;1105;5;2024-12-15;1762;1;3;2;63;17;49,28;67,39;55,70
IMOVEL;200;1101;19;2025-01-15;1799;2;4;2;62;14;48,05;69,91;54,88
IMOVEL;180;1102;11;2025-01-15;1412;1;4;2;61;20;46,51;60,80;51,23
IMOVEL;220;1103;7;2025-01-15;2437;1;6;1;31;9;52,65;69,72;58,60
IMOVEL;150;1104;25;2025-01-15;1019;2;6;1;49;19;42,64;56,80;48,71
IMOVEL;200;1105;6;2025-01-15;1755;1;3;1;32;6;51,87;76,86;62,35
IMOVEL;200;1101;20;2025-02-15;1790;1;5;2;35;18;47,41;73,40;57,62
IMOVEL;180;1102;12;2025-02-15;1404;2;3;1;45;18;44,79;59,60;50,86
IMOVEL;220;1103;8;2025-02-15;2428;1;5;1;22;19;46,45;58,51;50,94
IMOVEL;150;1104;26;2025-02-15;1009;2;4;1;24;7;46,92;76,85;58,59
IMOVEL;200;1105;7;2025-02-15;1749;1;5;2;51;8;48,40;73,28;58,18
IMOVEL;200;1101;21;2025-03-15;1782;1;6;2;59;7;48,51;70,85;57,56
IMOVEL;180;1102;13;2025-03-15;1398;2;5;2;54;12;47,06;63,59;52,99
IMOVEL;220;1103;9;2025-03-15;2420;1;4;1;51;17;49,53;67,57;55,24
IMOVEL;150;1104;27;2025-03-15;1001;2;3;2;42;12;43,87;62,50;52,47
IMOVEL;200;1105;8;2025-03-15;1740;1;4;2;39;13;51,24;76,53;62,99
IMOVEL;200;1101;22;2025-04-15;1773;1;6;2;23;16;46,88;68,10;53,95
IMOVEL;180;1102;14;2025-04-15;1389;1;6;1;55;7;44,16;57,25;50,03
IMOVEL;220;1103;10;2025-04-15;2414;2;3;2;19;10;50,61;64,25;56,93
IMOVEL;150;1104;28;2025-04-15;992;1;3;2;35;15;45,03;66,46;53,07
IMOVEL;200;1105;9;2025-04-15;1732;1;6;1;36;11;53,47;79,58;64,42
IMOVEL;200;1101;23;2025-05-15;1764;1;6;2;25;19;48,90;76,66;58,97
IMOVEL;180;1102;15;2025-05-15;1379;1;4;1;28;12;39,89;65,87;50,85
IMOVEL;220;1103;11;2025-05-15;2406;2;6;2;52;8;47,76;77,00;61,52
IMOVEL;150;1104;29;2025-05-15;985;2;5;1;44;11;47,89;71,23;58,92
IMOVEL;200;1105;10;2025-05-15;1724;1;3;1;34;14;46,67;68,47;53,91
IMOVEL;200;1101;24;2025-06-15;1755;1;3;2;59;15;44,62;73,63;56,07
IMOVEL;180;1102;16;2025-06-15;1371;1;6;1;56;5;44,88;69,94;55,19
IMOVEL;220;1103;12;2025-06-15;2395;2;6;1;54;17;47,40;72,44;58,14
IMOVEL;150;1104;30;2025-06-15;975;1;3;1;20;11;47,62;67,64;57,44
IMOVEL;200;1105;11;2025-06-15;1719;1;6;1;35;7;45,67;61,42;51,72
IMOVEL;200;1101;25;2025-07-15;1747;2;6;2;31;15;48,96;67,90;57,17
IMOVEL;180;1102;17;2025-07-15;1363;2;3;2;38;15;45,25;59,01;50,63
IMOVEL;220;1103;13;2025-07-15;2384;1;4;1;20;5;43,30;55,59;48,67
IMOVEL;150;1104;31;2025-07-15;968;2;6;2;36;18;45,39;74,82;57,10
IMOVEL;200;1105;12;2025-07-15;1710;1;3;2;36;10;42,24;58,46;48,85
IMOVEL;200;1101;26;2025-08-15;1737;1;4;2;44;20;45,59;66,48;52,77
IMOVEL;180;1102;18;2025-08-15;1354;1;6;1;65;13;45,42;68,33;53,21
IMOVEL;220;1103;14;2025-08-15;2378;1;6;1;61;5;45,51;68,98;57,06
IMOVEL;150;1104;32;2025-08-15;958;1;3;2;23;14;39,61;55,64;44,91
IMOVEL;200;1105;13;2025-08-15;1702;1;6;1;32;8;49,09;65,90;54,99
IMOVEL;200;1101;27;2025-09-15;1729;1;5;2;42;16;50,02;71,91;60,46
IMOVEL;180;1102;19;2025-09-15;1345;1;6;2;41;7;49,58;65,23;55,68
IMOVEL;220;1103;15;2025-09-15;2368;2;3;1;48;9;45,29;62,04;51,85
IMOVEL;150;1104;33;2025-09-15;952;1;4;2;52;16;45,80;68,05;52,64
IMOVEL;200;1105;14;2025-09-15;1694;1;4;1;60;17;50,67;73,08;58,85
IMOVEL;200;1101;28;2025-10-15;1720;2;4;1;19;12;48,53;77,77;58,18
IMOVEL;180;1102;20;2025-10-15;1334;1;3;1;63;15;41,28;57,62;46,42
IMOVEL;220;1103;16;2025-10-15;2362;1;4;2;50;19;46,63;73,86;56,08
IMOVEL;150;1104;34;2025-10-15;944;2;4;2;35;9;44,06;68,63;51,98
IMOVEL;200;1105;15;2025-10-15;1688;2;6;1;49;19;51,82;75,58;63,65
IMOVEL;200;1101;29;2025-11-15;1711;1;5;1;64;18;47,68;62,30;53,63
IMOVEL;180;1102;21;2025-11-15;1327;1;3;2;49;8;42,31;56,78;48,01
IMOVEL;220;1103;17;2025-11-15;2354;1;4;1;57;7;52,19;69,36;57,50
IMOVEL;150;1104;35;2025-11-15;934;1;4;2;52;9;47,22;77,15;57,86
IMOVEL;200;1105;16;2025-11-15;1678;1;4;1;42;13;49,00;63,15;53,78
IMOVEL;200;1101;30;2025-12-15;1702;1;6;2;46;12;48,51;77,61;61,05
IMOVEL;180;1102;22;2025-12-15;1319;1;6;2;47;9;45,03;72,01;54,00
IMOVEL;220;1103;18;2025-12-15;2347;1;4;1;49;5;49,29;65,86;56,72
IMOVEL;150;1104;36;2025-12-15;925;1;5;1;21;8;43,46;59,91;51,55
IMOVEL;200;1105;17;2025-12-15;1672;1;3;1;58;14;47,02;67,10;54,09
IMOVEL;200;1101;31;2026-01-15;1692;2;4;1;40;14;49,29;62,41;53,40
IMOVEL;180;1102;23;2026-01-15;1309;1;3;2;39;14;41,26;53,61;46,33
IMOVEL;220;1103;19;2026-01-15;2340;1;5;2;49;13;45,64;70,10;56,28
IMOVEL;150;1104;37;2026-01-15;917;1;5;1;51;5;46,16;59,62;50,81
IMOVEL;200;1105;18;2026-01-15;1665;2;5;1;58;16;44,70;63,34;50,82
IMOVEL;200;1101;32;2026-02-15;1685;1;5;1;24;18;48,23;62,07;53,95
IMOVEL;180;1102;24;2026-02-15;1301;2;4;1;24;9;46,90;64,22;55,42
IMOVEL;220;1103;20;2026-02-15;2332;1;3;2;19;10;49,98;79,86;62,22
IMOVEL;150;1104;38;2026-02-15;908;1;4;1;37;16;40,15;58,24;47,10
IMOVEL;200;1105;19;2026-02-15;1655;1;6;2;32;15;44,48;72,93;57,66
IMOVEL;200;1101;33;2026-03-15;1678;1;3;1;49;12;44,32;60,87;50,44
IMOVEL;180;1102;25;2026-03-15;1293;1;5;2;29;14;47,24;64,11;52,73
IMOVEL;220;1103;21;2026-03-15;2325;1;4;1;56;6;48,47;78,38;63,39
IMOVEL;150;1104;39;2026-03-15;900;2;6;1;37;17;45,51;61,12;52,58
IMOVEL;200;1105;20;2026-03-15;1645;1;6;1;61;13;46,15;67,07;54,45
IMOVEL;200;1101;34;2026-04-15;1672;2;5;2;50;19;44,17;64,88;50,74
IMOVEL;180;1102;26;2026-04-15;1283;2;3;1;45;19;43,42;65,69;53,22
IMOVEL;220;1103;22;2026-04-15;2319;1;5;1;65;10;46,76;72,21;55,72
IMOVEL;150;1104;40;2026-04-15;890;1;4;2;45;20;43,56;57,53;49,49
IMOVEL;200;1105;21;2026-04-15;1637;1;5;2;46;6;45,55;69,31;54,57
IMOVEL;200;1101;35;2026-05-15;1661;2;3;2;59;19;45,23;74,35;57,04
IMOVEL;180;1102;27;2026-05-15;1277;1;4;1;35;18;41,85;55,45;46,64
IMOVEL;220;1103;23;2026-05-15;2312;1;6;2;40;17;39,19;58,28;45,53
IMOVEL;150;1104;41;2026-05-15;881;2;4;2;22;17;45,44;74,04;54,33
IMOVEL;200;1105;22;2026-05-15;1628;1;5;1;45;16;44,74;64,20;50,65
IMOVEL;200;1101;36;2026-06-15;1654;1;4;2;33;14;45,12;69,65;53,76
IMOVEL;180;1102;28;2026-06-15;1271;1;5;1;22;13;42,12;62,29;49,54
IMOVEL;220;1103;24;2026-06-15;2303;2;5;1;40;17;44,68;64,18;52,00
IMOVEL;150;1104;42;2026-06-15;873;1;5;1;25;19;42,92;58,23;48,89
IMOVEL;200;1105;23;2026-06-15;1620;1;6;1;26;11;38,80;54,47;43,52
IMOVEL;200;1101;37;2026-07-15;1645;1;4;1;44;16;44,76;60,77;52,16
IMOVEL;180;1102;29;2026-07-15;1262;2;5;2;53;18;41,40;56,31;46,02
IMOVEL;220;1103;25;2026-07-15;2294;1;5;2;43;7;45,06;73,73;57,75
IMOVEL;150;1104;43;2026-07-15;866;2;6;2;42;13;40,45;69,29;53,41
IMOVEL;200;1105;24;2026-07-15;1610;1;6;1;57;14;46,61;61,54;51,13
IMOVEL;200;1101;38;2026-08-15;1639;1;3;2;48;10;41,54;57,14;47,75
IMOVEL;180;1102;30;2026-08-15;1253;2;5;1;36;5;42,34;59,56;49,23
IMOVEL;220;1103;26;2026-08-15;2285;2;6;2;24;10;42,80;61,82;51,82
IMOVEL;150;1104;44;2026-08-15;856;2;6;1;56;17;42,58;56,54;46,98
IMOVEL;200;1105;25;2026-08-15;1601;1;4;1;23;6;41,91;67,18;50,36
PESADOS;120;3301;9;2024-09-15;761;2;5;1;53;17;41,10;56,56;46,69
PESADOS;100;3302;3;2024-09-15;691;1;2;2;34;18;44,20;67,19;52,37
PESADOS;120;3301;10;2024-10-15;752;1;5;1;20;11;39,24;57,28;47,69
PESADOS;100;3302;4;2024-10-15;684;2;2;1;43;17;44,15;68,90;56,10
PESADOS;120;3301;11;2024-11-15;744;1;2;1;61;10;45,17;61,64;51,96
PESADOS;100;3302;5;2024-11-15;677;1;4;1;43;18;39,57;68,90;51,72
PESADOS;120;3301;12;2024-12-15;738;1;5;1;27;10;45,17;67,87;52,00
PESADOS;100;3302;6;2024-12-15;670;1;4;2;52;14;40,40;64,87;49,15
PESADOS;120;3301;13;2025-01-15;729;1;2;2;23;17;41,96;70,38;54,91
PESADOS;100;3302;7;2025-01-15;661;1;5;2;31;14;39,94;66,10;52,23
PESADOS;120;3301;14;2025-02-15;723;1;3;1;33;6;46,75;66,78;52,86
PESADOS;100;3302;8;2025-02-15;652;1;3;1;39;10;43,12;69,57;53,36
PESADOS;120;3301;15;2025-03-15;718;1;2;1;61;16;39,93;57,54;47,17
PESADOS;100;3302;9;2025-03-15;645;1;2;1;20;9;44,89;60,57;50,93
PESADOS;120;3301;16;2025-04-15;714;1;5;1;64;12;39,71;56,42;47,52
PESADOS;100;3302;10;2025-04-15;639;1;4;2;52;19;34,86;62,98;44,98
PESADOS;120;3301;17;2025-05-15;707;1;4;1;26;6;39,83;55,05;45,23
PESADOS;100;3302;11;2025-05-15;630;1;5;1;63;6;40,14;60,50;46,41
PESADOS;120;3301;18;2025-06-15;700;2;3;1;60;14;41,26;69,18;52,66
PESADOS;100;3302;12;2025-06-15;621;1;3;1;44;12;37,32;53,45;43,48
PESADOS;120;3301;19;2025-07-15;693;1;5;1;45;5;39,92;66,79;53,02
PESADOS;100;3302;13;2025-07-15;615;1;2;1;40;10;36,31;66,24;47,34
PESADOS;120;3301;20;2025-08-15;685;1;5;2;45;19;37,97;56,07;44,27
PESADOS;100;3302;14;2025-08-15;610;1;2;2;61;11;41,09;70,70;54,87
PESADOS;120;3301;21;2025-09-15;675;2;5;1;43;6;42,54;71,78;56,77
PESADOS;100;3302;15;2025-09-15;603;1;3;2;29;6;41,58;56,40;46,88
PESADOS;120;3301;22;2025-10-15;665;2;2;1;25;11;40,16;55,53;45,77
PESADOS;100;3302;16;2025-10-15;595;1;2;2;17;18;37,15;59,32;44,28
PESADOS;120;3301;23;2025-11-15;659;1;2;1;58;14;39,83;63,23;50,64
PESADOS;100;3302;17;2025-11-15;590;1;2;1;29;7;37,24;49,31;41,60
PESADOS;120;3301;24;2025-12-15;654;1;2;1;33;6;31,94;60,47;44,06
PESADOS;100;3302;18;2025-12-15;585;1;3;1;44;14;42,45;68,30;53,14
PESADOS;120;3301;25;2026-01-15;648;1;3;1;21;14;40,18;52,89;44,28
PESADOS;100;3302;19;2026-01-15;580;2;5;2;59;12;40,20;61,37;46,67
PESADOS;120;3301;26;2026-02-15;641;1;3;2;25;14;38,00;66,23;46,95
PESADOS;100;3302;20;2026-02-15;571;1;3;1;40;9;40,51;64,21;50,86
PESADOS;120;3301;27;2026-03-15;635;1;4;2;58;17;42,20;64,59;50,14
PESADOS;100;3302;21;2026-03-15;566;2;3;2;57;12;41,38;68,85;54,83
PESADOS;120;3301;28;2026-04-15;626;1;4;2;54;10;33,11;49,09;39,14
PESADOS;100;3302;22;2026-04-15;559;1;2;2;20;15;38,03;51,01;44,23
PESADOS;120;3301;29;2026-05-15;617;2;5;2;20;20;31,79;44,34;36,39
PESADOS;100;3302;23;2026-05-15;554;1;5;2;46;15;36,92;65,67;50,46
PESADOS;120;3301;30;2026-06-15;607;1;4;2;36;10;37,33;52,25;44,64
PESADOS;100;3302;24;2026-06-15;545;1;3;2;61;17;37,45;66,73;49,13
PESADOS;120;3301;31;2026-07-15;600;1;5;1;53;11;34,95;49,80;39,60
PESADOS;100;3302;25;2026-07-15;537;1;3;1;29;7;36,73;64,49;47,75
PESADOS;120;3301;32;2026-08-15;592;1;3;2;39;16;40,62;58,99;48,94
PESADOS;100;3302;26;2026-08-15;531;1;5;2;27;11;38,37;57,19;44,04
SERVICOS;40;4401;11;2024-09-15;564;2;5;0;55;0;27,75;51,47;39,43
SERVICOS;36;4402;7;2024-09-15;482;2;4;0;19;0;25,00;49,36;34,68
SERVICOS;40;4401;12;2024-10-15;557;2;6;0;23;0;23,91;42,88;31,37
SERVICOS;36;4402;8;2024-10-15;474;2;5;0;28;0;24,59;49,04;32,57
SERVICOS;40;4401;13;2024-11-15;548;3;5;0;54;0;24,17;38,97;30,70
SERVICOS;36;4402;9;2024-11-15;465;2;4;0;62;0;27,74;45,75;36,08
SERVICOS;40;4401;14;2024-12-15;540;2;4;0;29;0;23,02;45,01;31,67
SERVICOS;36;4402;10;2024-12-15;457;2;6;0;34;0;28,02;42,81;35,35
SERVICOS;40;4401;15;2025-01-15;533;3;6;0;53;0;22,26;41,04;31,49
SERVICOS;36;4402;11;2025-01-15;449;2;5;0;32;0;24,79;45,55;31,20
SERVICOS;40;4401;16;2025-02-15;524;3;5;0;58;0;28,27;44,36;34,56
SERVICOS;36;4402;12;2025-02-15;442;3;5;0;48;0;24,28;48,91;33,88
SERVICOS;40;4401;17;2025-03-15;515;3;3;0;61;0;22,15;38,58;29,08
SERVICOS;36;4402;13;2025-03-15;433;2;6;0;26;0;22,34;44,37;29,15
SERVICOS;40;4401;18;2025-04-15;507;2;6;0;22;0;22,77;36,42;29,19
SERVICOS;36;4402;14;2025-04-15;423;2;3;0;59;0;23,20;48,11;35,55
SERVICOS;40;4401;19;2025-05-15;497;2;4;0;39;0;23,60;35,87;29,03
SERVICOS;36;4402;15;2025-05-15;417;2;3;0;59;0;27,04;53,15;36,55
SERVICOS;40;4401;20;2025-06-15;491;2;5;0;52;0;22,12;46,05;29,82
SERVICOS;36;4402;16;2025-06-15;411;2;5;0;61;0;22,78;46,08;34,13
SERVICOS;40;4401;21;2025-07-15;483;2;6;0;39;0;24,96;38,54;29,82
