competencia;tipo;ipca_pct;incc_pct;igpm_pct;cdi_pct;tr_pct
2026-04;REALIZADO;0,4501;0,4674;0,5967;1,1274;0,1075
2026-05;REALIZADO;0,4526;0,4344;0,4886;1,1274;0,1075
2026-06;REALIZADO;0,4146;0,4101;0,2288;1,1274;0,1075
2026-07;REALIZADO;0,4683;0,4999;0,2484;1,1274;0,1075
2026-08;REALIZADO;0,2600;0,4388;0,3117;1,1274;0,1075
2026-09;PROJETADO;0,3595;0,4551;0,3595;1,0979;0,1003
2026-10;PROJETADO;0,3595;0,4551;0,3595;1,0979;0,1003
2026-11;PROJETADO;0,3595;0,4551;0,3595;1,0979;0,1003
2026-12;PROJETADO;0,3595;0,4551;0,3595;1,0979;0,1003
2027-01;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-02;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-03;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-04;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-05;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-06;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-07;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-08;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-09;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-10;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-11;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2027-12;PROJETADO;0,3274;0,4233;0,3274;0,9489;0,0639
2028-01;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-02;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-03;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-04;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-05;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-06;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-07;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-08;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-09;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-10;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-11;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2028-12;PROJETADO;0,3113;0,4074;0,3113;0,8355;0,0366
2029-01;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-02;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-03;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-04;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-05;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-06;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-07;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-08;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-09;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-10;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-11;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2029-12;PROJETADO;0,2871;0,3835;0,2871;0,7974;0,0275
2030-01;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-02;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-03;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-04;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-05;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-06;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-07;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-08;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-09;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-10;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-11;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2030-12;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-01;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-02;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-03;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-04;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-05;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-06;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-07;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-08;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-09;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-10;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-11;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
2031-12;PROJETADO;0,2871;0,3835;0,2871;0,7592;0,0183
